platform,content_id,aid,crawl_mode,user_name,user_id,comment_text,like_count,reply_count,comment_time,rpid
bilibili,BV1TpjQ6TEQz,116802608695925,hot,大哒哒哒大白,1576686135,她的路被铺的不能再平了，哪个男明星火了，下一部戏的女主就是她,260,0,2026-06-24 10:20:16,306792832208
bilibili,BV1TpjQ6TEQz,116802608695925,hot,昭昭子规啼,23735393,她是怎么做到什么场合都不得体的,29,1,2026-06-24 18:39:57,303723378913
bilibili,BV1TpjQ6TEQz,116802608695925,hot,小森楼,270750197,内娱审美急速下降，看看十年二十年前的女主是啥样,81,5,2026-06-24 16:44:23,303712400305
bilibili,BV1TpjQ6TEQz,116802608695925,hot,沙卡拉卡Duang,26161189,到现在才知道…白鹿竟然是顶流啊？？？！[无语]我不关注娱乐圈好几年了[笑哭]只知道她的大笑[无语],816,12,2026-06-24 10:57:54,303683137153
bilibili,BV1TpjQ6TEQz,116802608695925,hot,新疆炒米粉之神,3461576459815769,[打call],1035,11,2026-06-24 16:10:39,303709634737
bilibili,BV1TpjQ6TEQz,116802608695925,hot,绯绯-毛球双卡双待版,413936607,看样子凉不了，没大的黑料，过几年就会变成岁月史书了，娱乐圈老辈子们的黑料都是实打实的，现在还都变成被人追捧的老戏骨了[辣眼睛],87,3,2026-06-24 16:55:34,306826907568
bilibili,BV1TpjQ6TEQz,116802608695925,hot,天才不作心碎的诗歌,1195987559,刚看奔跑吧十四季 真就是白鹿在哪队哪队赢 落后还有配平文学 真的明显偏袒 看得憋屈死了,122,1,2026-06-24 10:12:57,303679755153
bilibili,BV1TpjQ6TEQz,116802608695925,hot,imaeeeri,2043532040,她超在意，🫘自己实名举报了好多视频[藏狐],48,1,2026-06-24 16:07:52,306822836656
bilibili,BV1TpjQ6TEQz,116802608695925,hot,佑哒,488928887,虽然白鹿不好，也不能证明那俩就好啊[笑哭],64,1,2026-06-24 13:24:42,303696902097
bilibili,BV1TpjQ6TEQz,116802608695925,hot,゚柊,2224163,资本捧人的实力不得不服,37,2,2026-06-24 19:34:35,303729173201
bilibili,BV1TpjQ6TEQz,116802608695925,hot,白池BCM,362209671,少女千颂伊说的这位吗 我真不行了,2114,9,2026-06-24 10:11:22,303679639745
bilibili,BV1TpjQ6TEQz,116802608695925,hot,电鳗鱿鱼,20990277,她的嘴动起来比她的脸还夺目。。。。,4,0,2026-06-24 17:37:54,303717291809
bilibili,BV1TpjQ6TEQz,116802608695925,hot,富江梦妍,3546769627548144,本来不信他跟江苏文投的事情，直到我亲眼看到这个热搜就上了一分钟点进去瞬间秒撤，我就懂了！,523,8,2026-06-24 10:27:17,306793195552
bilibili,BV1TpjQ6TEQz,116802608695925,hot,云光小拙乐,1607629583,这些领导的审美真够扭曲的[笑哭]被权力熏的不成人形了都,2,0,2026-06-24 19:37:10,303729426609
bilibili,BV1TpjQ6TEQz,116802608695925,hot,玫瑰茆茆,102510588,很无语啊。。。你说她没分寸，但是业内的高层还都陪着她笑。。。不知道她是会社交还是怎么的都在包容她，我不理解。。。,47,7,2026-06-24 10:30:10,303680957377
bilibili,BV1TpjQ6TEQz,116802608695925,hot,橘子皮泡水-,65397709,辟谣她的大专3+2学历学校之前是中专，到现在也没发个学信网。。。,149,6,2026-06-24 16:25:39,306824426752
bilibili,BV1TpjQ6TEQz,116802608695925,hot,无敌幸运星-_-,417368907,居然上热搜了，保护up[妙啊],85,3,2026-06-24 16:32:28,306824788880
bilibili,BV1TpjQ6TEQz,116802608695925,hot,姬星玲音,8097174,哦，居然能压制关晓彤，啧啧啧。有故事,5,0,2026-06-24 19:25:17,303728207073
bilibili,BV1TpjQ6TEQz,116802608695925,hot,大量冷盐水,111741601,怪不得她特别没教养，吃蘸酱菜的时候咬一口蘸一下,4,0,2026-06-24 15:30:48,306820167248
bilibili,BV1TpjQ6TEQz,116802608695925,hot,凌依雪,167344,精神老妹儿崩老头儿，占用了大量她人资源，还没素质[OK],5,0,2026-06-24 12:20:31,306803490064
bilibili,BV1TpjQ6TEQz,116802608695925,hot,S_Violetta,178718459,没家世背景还能这么有资源只能是傍大款呗,63,6,2026-06-24 17:04:48,303714029233
bilibili,BV1TpjQ6TEQz,116802608695925,hot,快乐最重要XD,137185557,不得不说 于正还是非常会营销、会捧人的 当下有什么热点都知道 硬往自己艺人身上套 [笑哭],61,5,2026-06-24 10:16:14,303679994913
bilibili,BV1TpjQ6TEQz,116802608695925,hot,2gather4ever,3546976232671878,"白鹿这人可怕的点从来不是她觉得是什么性别, 而是她常常有意无意透过男性化去贬低女性, 表示说自己是男生所以好相处, 暗喻女生不好相处等等.",22,0,2026-06-24 19:43:18,303730173265
bilibili,BV1TpjQ6TEQz,116802608695925,hot,散称不差,250018461,老头乐,578,8,2026-06-24 15:41:20,303707181137
bilibili,BV1TpjQ6TEQz,116802608695925,hot,漾云清,170815909,她演戏不就是当拍那些短视频吗,59,1,2026-06-24 12:41:11,306805671280
bilibili,BV1TpjQ6TEQz,116802608695925,hot,苏菲的幸运之光,11895280,弹幕好多粉丝装路人挽尊啊笑死了[喜极而泣][笑哭],6,0,2026-06-24 16:17:32,303710064289
bilibili,BV1TpjQ6TEQz,116802608695925,hot,魔法橙飛毯,1218409410,崩老头也得有天赋，bl明显是会崩的,23,0,2026-06-24 19:04:34,306839881792
bilibili,BV1TpjQ6TEQz,116802608695925,hot,代号一鬼眼杨间,3461572015950209,感觉他火的莫名其妙的。还有就是白鹿演的剧我是真tm一个没看过，刷视频都没刷到过。第1次看他还是奔跑吧兄弟。,67,1,2026-06-24 14:10:42,306814035568
bilibili,BV1TpjQ6TEQz,116802608695925,hot,但有明月,34175132,他就像带了系统的玩家一样，大家都要莫名其妙的支持他。,41,1,2026-06-24 17:03:41,306827705792
bilibili,BV1TpjQ6TEQz,116802608695925,hot,皮蛋教教主,543474239,不是很了解她，印象就是素质有些低，演戏有点小人得志,3,0,2026-06-24 16:54:29,306826799008
bilibili,BV1TpjQ6TEQz,116802608695925,hot,-麦子熟了吗,25092854,她这种人居然能演《北上》当时我就觉得背景不一般……,2,0,2026-06-24 19:49:11,303730699889
bilibili,BV1TpjQ6TEQz,116802608695925,hot,antibody,439342034,如果跟zlh谈过，那么zlh也臭臭的,294,10,2026-06-24 10:13:38,306792340560
bilibili,BV1TpjQ6TEQz,116802608695925,hot,大大大大人来啦,259898144,"我只有一个问题
她长这样
怎么让老爷护着的
莫非真有人恋丑？[思考]",87,16,2026-06-24 18:12:43,306834346224
bilibili,BV1TpjQ6TEQz,116802608695925,hot,无语啦-----,2147279401,白鹿翻开几本高干爽文，皱了皱眉说：这也不爽呀,56,1,2026-06-24 15:38:12,306820653312
bilibili,BV1TpjQ6TEQz,116802608695925,hot,冬青木的树丫,11126014,好聒噪啊我的天,5,0,2026-06-24 13:19:46,306809708800
bilibili,BV1TpjQ6TEQz,116802608695925,hot,小白白的沐沐,495890936,先说一下批的什么瑶吧，证据也没有，那姐：这很难评,363,8,2026-06-24 13:14:13,306809114848
bilibili,BV1TpjQ6TEQz,116802608695925,hot,二蛋的小珂爱,491319071,漂亮，没文化，放的开。全是优点。,182,16,2026-06-24 10:31:25,303681144801
bilibili,BV1TpjQ6TEQz,116802608695925,hot,JoJoJo猫,4780342,这种人在职场确实很受领导喜欢,39,1,2026-06-24 18:43:17,306837567296
bilibili,BV1TpjQ6TEQz,116802608695925,hot,神仙火腿,5065393,bl：我顺极了[脱单doge],92,1,2026-06-24 10:25:38,303680633713
bilibili,BV1TpjQ6TEQz,116802608695925,hot,炸蘇又_,354591335,[微笑]她背后的人得多有实力，才敢这么玩啊,47,0,2026-06-24 10:39:08,306794349600
bilibili,BV1TpjQ6TEQz,116802608695925,hot,CobraStarship,2591252,跟老头应该是真的 怪不得这么狂,102,0,2026-06-24 10:39:58,303681662417
bilibili,BV1TpjQ6TEQz,116802608695925,hot,AI导演木子大橘,19674783,她长得好丑啊，而且一看就是estp人格，这种人，千万别深交，他们天生爱说谎，而且下意识就会撒谎，而且他们撒谎了也不记得自己撒谎，你指出来他们要不就不承认，拿出视频给他们看，他们就会解释当时只是为了方便随后那么一说，不要认真，这么说是不是觉得跟某人很像，对，就是懂王，estp人格就是这样，男女差异就是活跃程度，女性estp就是在社交场合像个活宝一样，但是她们是没底线的，毫无底线，道德和规则这种东西他们是真心不尊重也不在乎的，遵守只是扛不住违法成本罢了。,3,0,2026-06-24 15:59:47,303708703633
bilibili,BV1TpjQ6TEQz,116802608695925,hot,拨波熊长,24714394,我一直觉得她挺土的，对她没好感，从没看过她的剧。但是这个视频看完，觉得这老妹儿挺支棱，挺精神儿的。感觉显眼包也不是啥错，我可能离被崩不远了[辣眼睛],84,11,2026-06-24 17:30:19,303716497441
bilibili,BV1TpjQ6TEQz,116802608695925,hot,小玄没有策啊,1109553782,她根本不是95花，同期段请拿她和90花比[doge_金箍],80,2,2026-06-24 14:51:20,303703426209
bilibili,BV1TpjQ6TEQz,116802608695925,hot,外星来饼,23131544,粉丝“她又没有做什么伤天害理的事情，为什么一直揪着不放”        让人无语,20,1,2026-06-24 16:53:54,306826781664
bilibili,BV1TpjQ6TEQz,116802608695925,hot,雨烟---,419233044,"盲生，我发现了一个华点☝🤓
把女孩当男孩养，并不一定会让她们活得独立强大，反而更有可能让她们变成菟丝子。比如白男士，比如奶茶mm章泽天。",4,0,2026-06-24 17:57:38,306832781104
bilibili,BV1TpjQ6TEQz,116802608695925,hot,芝士大草莓biu,98072865,她说话笑什么的，好喜欢漏上牙和牙龈啊，上嘴皮往上翻。。。。这个习惯看着好不舒服啊,61,1,2026-06-24 10:20:45,303680352209
bilibili,BV1TpjQ6TEQz,116802608695925,hot,Cecelia-One,11180930,我想起来了，封面特别像这只企鹅,900,7,2026-06-24 10:31:59,306793737824
bilibili,BV1TpjQ6TEQz,116802608695925,hot,zxrxjzfs,1322208519,我的天呐 不得不说他的面部表情真的非常的太妹 完全就是一个没有素质的人感觉,19,0,2026-06-24 10:22:37,306792918288
bilibili,BV1TpjQ6TEQz,116802608695925,hot,なんでもないね,449122630,全是筹集,3,0,2026-06-24 18:41:54,306837466064
